Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Terril du sept-huit stat 3;17.249;0.099;9.954;0.465;32.654;26.998;2.28;0.001;10.174;0.115
Terril n°5 de Trazegnie site 1;10.933;0.726;15.921;0.547;44.072;17.486;0;0;9.03;1.29
Terril n°5 de Trazegnie site 2;12.682;0.887;16.597;0.576;39.35;19.448;0;0;9.172;1.29
Terril n°8 Pays-bas;36.637;0.472;17.272;0.89;3.18;34.133;0;0;5.693;1.719
Terril Naye-à-bois;27.353;1.939;20.965;0.88;0.307;39.239;0;0;6.23;3.084
Terril Rieu-du-Coeur;25.821;0.229;18.826;0.781;11.741;33.365;0.254;0;8.633;0.348
Terril Sacré-Français site 1;39.114;0.118;21.9;0.787;0;29.585;0;0;8.445;0.046
Terril Sacré-Français site 2;38.33;0.124;20.754;0.844;0;31.7;0;0;8.199;0.043
Terril Saint-Antoine site 1;16.206;0.341;11.25;0.426;27.779;34.882;0;0;8.911;0.206
Terril Saint-Antoine site 2;20.825;0.383;14.413;0.587;16.139;37.062;0;0;9.555;1.038
Terril Saint-Antoine site 3;12.244;0.228;8.222;0.28;44.149;29.421;0;0;5.262;0.189
Tilou;14.187;0.345;53.912;5.994;0.719;18.037;0.001;0;6.462;0.349
Vertbois Site 1;5.978;2.62;59.748;1.07;7.154;20.98;0.331;0;1.849;0.266
Vertbois Site 2;6.156;2.704;57.782;1.124;8.71;20.997;0.357;0;1.895;0.271
Vertbois Site 3;5.681;2.459;60.216;0.897;6.283;22.373;0.296;0;1.655;0.135
Vésale (UMONS);46.826;0.461;16.13;1.106;0.007;28.638;0.304;0;4.951;1.58
Vieille Haine;17.93;0.157;33.317;0.881;3.624;16.692;10.956;0;10.396;6.05
Village des abeilles (UMONS);45.948;0.449;15.836;1.106;0.009;30.837;0.31;0;4.386;1.122
