Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Abbaye de Saint-Denis;7.465;2.27;44.904;1.366;19.161;18.119;0.278;0;2;4.431
Aérodrome de Maubray;2.866;0.9;47.618;0.618;12.358;15.748;0;0;8.63;11.288
Ancien moulin;3.283;0.07;15.215;0.932;52.78;23.095;2.322;0;1.937;0.355
Ancienne Gare;8.833;23.932;7.499;0.415;34.298;22.519;0.08;0;1.384;1.036
Arsenal IDEA;36.755;0.445;20.202;1.159;1.502;34.53;0.012;0;4.953;0.44
B6 (UMONS);39.87;0.405;16.827;1.236;0.982;32.827;0.431;0;5.652;1.773
Beaulieu;3.672;0.579;52.904;0.505;24.671;13.912;1.177;0;2.152;0.42
Beffroi;69.485;0.391;9.003;0.297;0;16.895;0;0;2.501;1.435
Bois de Bon-Secours;8.873;0.02;61.323;1.374;7.755;12.732;0.043;0;7.858;0.028
Bois de Wadelincourt;15.728;0.4;20.998;0.753;14.549;42.313;0;0;4.589;0.67
Bois d'Havré;6.324;0.929;69.088;1.718;2.034;14.006;0;0;3.804;2.101
Bruyère Site 1;13.617;0.311;37.203;1.78;8.643;29.245;0;0;5.492;3.704
Bruyère Site 2;14.254;0.328;41.734;1.859;5.885;26.296;0;0;5.891;3.745
Bruyère Site 3;13.435;0.277;43.833;1.799;7.291;24.537;0;0;5.621;3.2
Bruyère Site 4;15.822;0.361;35.612;1.886;5.49;31.092;0;0;5.44;4.291
Bruyère Site 5;15.935;0.368;31.912;1.525;6.156;34.613;0;0;5.236;4.252
Camp-à-cayaux;3.105;11.087;12.83;0.589;48.065;21.133;1.256;0;1.429;0.496
Carrière Omya;7.004;19.005;12.232;0.476;34.247;23.664;1.054;0;1.745;0.566
Cascade d'Hyon;13.372;0.132;29.668;1.607;11.892;37.787;1.521;0;3.417;0.6
Château d'Havré;18.387;5.219;21.3;1.25;6.284;38.246;0.466;0;5.605;3.241
Chemin de Jérusalem;9.323;0.037;24.44;0.587;31.999;23.928;0.039;0;3.814;5.829
Chemin de Roucourt;11.351;0.001;18.777;0.401;46.586;18.143;0;0;1.778;2.963
Chemin du Trainage;5.631;0.023;24.996;0.531;11.446;24.492;10.722;0.006;9.631;12.532
Cimetière de Nimy;15.745;0.258;20.113;2.217;17.536;26.151;6.197;0;8.807;2.967
Cimetière de Spiennes;3.465;0.062;16.898;0.813;39.354;33.47;3.534;0;2.065;0.335
Cimetière d'Havré;11.044;0.168;22.454;0.477;29.495;34.692;0.001;0;1.594;0.074
Culture  de bouleaux;7.707;1.607;6.027;0.444;52.997;27.633;0;0;3.234;0.339
Eglise Saint Martin d'Harveng;5.165;0.04;10.855;0.525;60.184;20.685;0;0;2.024;0.52
Epargne (UMONS);48.05;0.35;19.106;1.426;0.636;24.712;0;0;4.151;1.571
Epinlieu (IDEA);23.569;0.264;15.343;1.335;8.601;46.98;0;0;3.622;0.276
Friche des Vignobles;14.009;29.084;30.068;1.631;3.227;12.894;0.009;0;4.683;4.392
Gare;16.811;0.206;17.712;1.001;23.965;34.131;0.802;0;5.082;0.29
Géothermia (IDEA);11.62;0.067;8.567;0.492;27.42;46.401;0;0;4.853;0.572
Grand Large;16.355;0.468;31.801;2.186;1.578;25.395;1.434;0;6.46;14.313
Jardin suspendu;55.611;0.4;15.84;1.106;0.193;21.851;0.001;0;3.675;1.329
Jardins du Hainaut;18.39;0.19;17.486;1.144;15.356;43.747;0.628;0;2.73;0.314
La Haine;56.876;0.452;12.736;0.779;0.392;23.311;0;0;3.747;1.712
La Trouille;9.504;3.77;7.981;0.41;41.833;34.838;0.071;0;1.181;0.411
Les Burettes (Natagora);2.547;0.009;59.354;25.024;0;2.712;0.117;0;6.704;3.536
Les Etangs;16.955;2.574;12.36;0.668;23.302;35.577;1.691;0;2.861;4.011
Marais de Douvrain Ouest;7.352;0.067;31.449;0.92;6.35;18.622;23.077;0;3.923;8.243
Marcasse;18.745;0.12;20.091;0.849;18.86;32.49;0.179;0;8.432;0.227
Mer de Sable;7.344;0.175;61.018;11.544;2.957;8.716;2.427;0;5.215;0.607
Mont Ostènes;13.449;1.169;16.916;1.046;39.286;24.661;0.738;0;2.514;0.207
Mont Panisel;3.11;0.03;29.112;0.658;25.386;34.481;5.145;0;1.858;0.22
Nocarcentre Site 1;9.232;9.687;15.774;0.861;37.334;17.576;0.462;0;1.538;7.53
Nocarcentre Site 2;5.935;9.376;11.467;0.604;47.219;17.694;0.52;0;1.071;6.112
Nocarcentre Site 3;6.643;9.577;12.405;0.623;42.095;20.937;0.351;0;1.188;6.186
Nocarcentre Site 4;6.591;10.548;11.211;0.599;38.652;24.955;0.518;0;1.199;5.729
Nocarcentre Site 5;9.839;10.337;15.433;0.755;30.025;24.976;0.361;0;1.699;6.578
Nocarcentre Site 6;9.907;10.05;16.105;0.775;29.991;24.247;0.35;0;1.677;6.902
Notre dame du petit Nimy;24.704;0.196;15.498;1.163;14.462;36.776;1.775;0;5.049;0.366
Parc Bonaert;27.738;0.665;11.977;1.369;6.384;45.884;0;0;3.464;2.516
Parc de Jemappes;22.989;0.194;16.211;1.12;17.866;32.98;0;0;6.329;2.305
Parc des 5 rocs;11.031;5.162;35.451;1.421;21.41;13.948;0;0;5.465;6.106
Parc d'Obourg;16.894;3.476;26.185;1.743;8.467;20.733;0;0;5.719;16.786
Parc du Waux-Hall;45.909;0.391;17.561;0.932;1.388;28.455;0;0;3.841;1.525
PEMH Obourg (IDEA);12.391;0.402;12.098;1.497;27.893;23.36;4.441;0;7.241;10.665
Place du Parc;63.759;0.512;10.935;0.603;0;20.037;0;0;2.801;1.36
Planoi Site 1;4.496;0.652;59.768;2.953;14.758;13.645;0.203;0;3.14;0.379
Planoi Site 2;4.137;0.58;62.801;3.077;13.352;12.372;0.204;0;3.139;0.332
Planoi Site 3;0.827;0.027;85.565;3.213;4.235;2.112;0.186;0;3.522;0.308
Planoi Site 4;4.02;0.565;63.158;3.08;13.557;11.989;0.192;0;3.106;0.329
Pont du Prince;3.495;0.03;16.691;0.503;54.873;21.091;0.515;0;2.331;0.46
Pré à Parchon;4.25;0.088;10.469;0.731;60.266;21.805;0.059;0;1.512;0.831
Prés du village;24.135;0.211;26.682;1.327;8.284;33.139;0.584;0;4.266;1.366
Ravel 98;18.085;0.202;22.5;1.013;23.669;28.019;0.921;0;5.352;0.236
Ronveaux;15.463;0.115;28.645;1.443;16.502;31.888;1.224;0;4.31;0.404
Ruches de Cuesmes (IDEA);35.874;0.392;24.831;1.182;2.956;29.356;0;0;5.071;0.332
Rue du Bois;7.18;0.275;32.89;0.704;19.715;14.434;0.11;0;7.101;17.6
Rue du Carme;12.974;0.199;36.884;1.167;15.893;23.587;0;0;7.541;1.746
Rue du Castillon;27.968;0.305;16.765;0.736;10.3;35.274;0.254;0;8.139;0.252
Rue Jean Winance;13.468;2.924;14.733;1.034;42.421;20.352;0.004;0;1.376;3.685
Rue là-dessous;28.387;0.394;20.425;0.974;11.463;33.167;0.001;0;4.954;0.229
Sainte-Waudru;68;0.395;8.969;0.322;0.031;18.047;0;0;2.622;1.623
Siège social (UMONS);62.539;0.4;11.534;0.735;0;20.399;0;0;3.166;1.232
Silex;3.253;0.066;17.197;0.937;46.525;27.58;1.509;0;2.55;0.372
Stievenart;42.531;0.334;20.716;1.655;0.8;28.032;0.001;0;4.489;1.444
Talus aux noyers;9.929;0.089;16.941;0.518;27.806;26.232;1.396;0;7.792;9.297
Terril Bayemont-Saint-Charles;26.139;5.149;18.67;1.173;0;34.653;0;0;9.897;4.314
Terril Belle vue du huit;17.672;0.205;20.491;1.195;18.707;35.31;0;0;6.375;0.035
Terril de Ciply site  2;9.391;0.038;22.876;0.919;34.436;27.666;0.84;0;3.602;0.232
Terril de Ciply site 1;8.753;0.035;20.886;0.834;37.704;27.595;0.647;0;3.336;0.212
Terril de la cokerie stat 1;18.142;2.322;17.873;0.917;20.288;34.975;0;0;4.31;1.168
terril de la cokerie stat 2;19.558;2.349;14.826;0.861;20.758;36.204;0;0;4.295;1.144
Terril de l'Héribus;23.856;0.406;18.257;1.147;14.397;36.215;0.076;0;5.548;0.097
Terril d'Hensies;2.532;0.008;27.984;1.23;5.342;12.384;9.653;0.006;11.264;29.604
Terril du dix-huit;15.228;0.091;16.315;0.648;24.244;31.433;1.602;0.001;10.253;0.186
Terril du Ferrand;9.938;0.105;6.733;0.543;55.001;22.891;0;0;4.755;0.027
Terril du Grand Buisson;11.838;0.092;10.416;0.477;34.616;34.522;0.029;0;7.917;0.103
Terril du Quesnoy  site 2;8.903;11.89;7.514;0.293;49.075;19.053;1.315;0;1.897;0.054
Terril du Quesnoy site 1;11.277;12.249;6.817;0.337;44.935;21.023;1.289;0;1.904;0.165
Terril du sept huit stat 1;13.218;0.071;13.086;0.469;33.214;25.71;2.283;0.001;11.819;0.124
Terril du sept-huit stat 2;14.295;0.072;8.233;0.366;41.175;23.319;2.28;0.001;10.18;0.072
