Official name;Synonym 1;Synonym 2;Habitat;Centroid lat;Centroid long;Number_category
Terril Rieu-du-Coeur;;;Terril;50.4298;3.8709;5
Terril Sacré-Français site 1;;;Terril;50.4248;4.4343;5
Terril Sacré-Français site 2;;;Terril;50.4264;4.4334;5
Terril Saint-Antoine site 1;;;Terril;50.4135;3.7723;5
Terril Saint-Antoine site 2;;;Terril;50.4105;3.7724;5
Terril Saint-Antoine site 3;;;Terril;50.415;3.7651;5
Tilou;Centre Tilou (Natagora);;Prairie;50.4968;3.9654;3
Vertbois Site 1;;;Carrière;50.60394;4.17567;1
Vertbois Site 2;;;Carrière;50.60258;4.17478;1
Vertbois Site 3;;;Carrière;50.60558;4.17558;1
Vésale (UMONS);Vésale UMons;;Parc;50.4627;3.9536;2
Vieille Haine;;;Rudéral;50.4561;3.8288;4
Village des abeilles (UMONS);Village des abeilles - UMons;Village UMons;Parc;50.4627;3.9553;2
