Tax_code	A	B	C	D	E	F	G	H	I	J	K	L	M	N
Euc_cypr	5	0	10	0	7	0	4	1	0	0	0	0	0	0
Euc_ebme	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Euc_gaul	0	1	0	2	2	0	2	0	2	0	0	0	0	0
Euc_helv	0	0	4	2	0	0	0	1	27	2	0	0	0	0
Euc_herm	0	0	3	1	0	0	0	1	0	0	0	0	0	0
Euc_inte	0	0	3	4	3	0	0	14	16	1	1	0	0	0
Euc_inte_w	0	0	3	1	0	0	0	0	9	0	0	0	0	0
Euc_long	0	3	1	0	0	0	1	1	0	0	0	0	0	0
Euc_nigrif	0	0	0	0	0	0	0	2	3	0	0	0	0	0
Euc_nigrip	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Euc_obso	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Euc_punc	1	0	0	0	0	0	1	2	0	0	0	0	0	0
Euc_rhod	0	0	0	0	2	0	4	11	0	0	0	0	0	0
Euc_syri	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Euc_wolf	0	0	4	2	2	0	0	1	0	0	0	0	0	0
Exo_liba	0	0	4	0	0	0	0	1	0	0	0	0	0	0
Hab_hakk	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Hab_tars	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hab_zona	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Hal_suba	0	0	1	0	0	0	1	0	0	4	0	0	0	0
Hal_aegy	0	6	10	8	3	1	3	6	0	0	0	0	0	0
Hal_beyt	0	4	0	0	3	0	0	4	0	3	0	1	2	0
Hal_brun	0	0	0	1	0	0	0	0	3	0	0	1	0	0
Hal_herm	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Hal_pate	0	7	8	0	5	3	5	14	0	5	0	0	0	0
Hal_prie	0	0	0	0	0	0	0	0	0	7	0	0	0	0
Hal_squa	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Her_trun	1	0	0	0	0	0	1	2	0	0	0	0	0	0
Hop_ sp.	0	1	7	0	0	0	2	0	1	0	0	1	0	1
Hop_acut	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Hop_erem	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Hop_pall	3	0	1	0	0	0	0	0	0	0	0	0	0	0
Hop_unis	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Hop_dist	1	0	0	12	1	0	0	0	0	0	0	0	0	0
Hop_scut	1	0	6	0	0	0	0	1	0	0	0	0	0	0
Hyl_arme	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Hyl_comm	0	0	1	1	0	0	1	5	0	0	0	0	0	0
Hyl_cris	0	0	0	0	0	0	0	1	0	0	0	6	3	9
Hyl_impa	0	0	1	0	1	0	0	0	0	0	0	0	0	0
