Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Abbaye de Saint-Denis;8.704;0.225;49.953;2.069;8.65;19.837;0.288;0;2.301;7.962
Aérodrome de Maubray;1.565;2.016;47.716;0.477;9.782;18.555;0;0;15.818;4.093
Ancien moulin;6.629;0.193;19.243;2.136;24.184;42.586;0.331;0;4.506;0.195
Ancienne Gare;13.574;11.747;8.711;0.497;40.543;22.251;0;0;2.516;0.161
Arsenal IDEA;33.888;0.311;22.457;1.356;0.379;36.107;0;0;5.232;0.271
B6 (UMONS);42.913;0.407;17.153;0.81;0.006;34.952;0.002;0;3.465;0.3
Beaulieu;5.422;2.251;62.432;1.07;7.75;15.975;0.078;0;3.899;1.129
Beffroi;80.073;0.329;8.13;0.126;0;8.345;0;0;1.637;1.354
Bois de Bon-Secours;7.589;0.059;76.431;0.904;0.001;4.812;0.005;0;10.203;0.003
Bois de Wadelincourt;13.383;0.596;25.152;0.884;14.131;41.127;0;0;4.292;0.452
Bois d'Havré;2.501;0.286;90.046;2.356;0.085;1.773;0;0;2.881;0.072
Bruyère Site 1;14.618;0.447;44.957;1.067;0.119;27.183;0;0;7.42;4.179
Bruyère Site 2;17.265;0.541;50.646;1.442;0;19.645;0;0;8.095;2.355
Bruyère Site 3;16.333;0.509;52.44;1.433;0;19.057;0;0;7.9;2.313
Bruyère Site 4;17.149;0.561;46.129;1.588;0;23.36;0;0;7.503;3.712
Bruyère Site 5;15.906;0.447;42.694;1.383;0;29.173;0;0;5.88;4.52
Camp-à-cayaux;2.132;7.702;13.015;0.408;58.324;14.42;3.183;0;0.738;0.08
Carrière Omya;7.543;32.294;17.001;0.63;11.015;26.557;2.71;0;1.355;0.898
Cascade d'Hyon;16.637;0.22;30.951;1.625;10.171;33.438;2.325;0;3.685;0.934
Château d'Havré;20.799;8.139;18.505;1.195;0.038;41.388;0.452;0;5.754;3.726
Chemin de Jérusalem;10.318;0.001;18.196;0.408;42.28;19.468;0;0;2.214;7.104
Chemin de Roucourt;5.896;0.004;6.731;0.338;70.903;14.337;0;0;1.053;0.76
Chemin du Trainage;4.673;0.008;21.967;0.47;11.925;30.089;7.574;0.025;10.865;12.429
Cimetière de Nimy;18.062;0.1;17.816;2.549;32.479;18.994;3.224;0;6.741;0.04
Cimetière de Spiennes;5.637;0.151;10.959;0.791;44.147;31.607;3.81;0;2.705;0.196
Cimetière d'Havré;13.848;0.121;19.767;0.862;21.602;42.385;0;0;1.4;0.034
Culture  de bouleaux;4.079;0.921;8.936;0.516;42.658;33.635;0;0;8.815;0.432
Eglise Saint Martin d'Harveng;12.497;0.137;16.843;0.941;28.979;36.179;0;0;3.496;0.926
Epargne (UMONS);49.417;0.448;16.726;1.165;0;25.444;0;0;4.232;2.567
Epinlieu (IDEA);18.452;0.169;9.795;1.157;3.086;62.573;0;0;4.165;0.583
Friche des Vignobles;11.097;24.517;40.108;2.286;2.238;11.025;0;0;4.912;3.822
Gare;24.271;0.211;13.129;0.846;15.012;43.202;0.135;0;3.018;0.189
Géothermia (IDEA);4.693;0.01;4.722;0.186;47.935;39.309;0;0;2.682;0.452
Grand Large;16.063;0.56;28.1;1.955;1.78;23.273;0;0;4.478;23.781
Jardin suspendu;65.911;0.317;12.311;0.399;0;17.126;0;0;2.793;1.158
Jardins du Hainaut;22.526;0.347;17.819;1.106;5.895;48.941;0;0;2.885;0.465
La Haine;60.014;0.539;11.354;0.878;0;22.86;0;0;2.534;1.828
La Trouille;14.383;0.718;7.834;0.573;19.877;55.287;0.012;0;0.948;0.359
Les Burettes (Natagora);1.792;0.006;68.392;15.601;0;0.504;0.447;0;9.931;3.324
Les Etangs;16.576;3.118;15.934;0.85;1.034;41.461;3.619;0;3.835;13.572
Marais de Douvrain Ouest;4.747;0.032;30.78;0.846;1.245;16.812;33.114;0;2.985;9.44
Marcasse;13.086;0.086;21.449;0.809;34.398;22.22;0.008;0;7.78;0.158
Mer de Sable;6.507;0.131;64.184;8.233;0.527;6.415;7.446;0;5.542;1.016
Mont Ostènes;17.652;0.176;29.395;2.583;5.859;39.548;0.352;0;3.907;0.521
Mont Panisel;1.16;0.006;36.871;0.407;25.57;27.213;7.148;0;1.434;0.183
Nocarcentre Site 1;5.922;21.754;20.792;0.844;13.323;15.536;0.449;0;1.59;19.796
Nocarcentre Site 2;5.417;17.676;8.384;0.313;35.038;17.887;0.443;0;1.116;13.731
Nocarcentre Site 3;5.294;23.29;10.698;0.467;24.766;14.848;0.277;0;1.175;19.186
Nocarcentre Site 4;6.095;17.456;8.976;0.412;25.784;22.069;0.642;0;1.06;17.505
Nocarcentre Site 5;8.411;19.601;13.931;1.134;8.292;26.63;0.087;0;1.447;20.462
Nocarcentre Site 6;7.232;26.578;17.904;1.222;7.853;17.414;0.005;0;1.538;20.245
Notre dame du petit Nimy;27.396;0.228;16.696;1.111;13.864;37.088;0.86;0;2.696;0.052
Parc Bonaert;28.522;0.23;11.732;0.82;4.574;45.551;0;0;5.497;3.064
Parc de Jemappes;18.712;0.212;22.881;1.159;1.485;46.726;0;0;5.767;3.06
Parc des 5 rocs;8.005;1.063;48.22;1.429;11.743;15.286;0;0;10.499;3.748
Parc d'Obourg;23.782;0.787;25.09;1.965;8.366;25.674;0;0;4.589;9.753
Parc du Waux-Hall;50.752;0.242;18.17;0.927;0.207;23.217;0;0;4.098;2.389
PEMH Obourg (IDEA);16.669;1.288;12.317;1.161;24.343;21.794;6.022;0;10.771;5.614
Place du Parc;70.347;0.282;11.376;0.427;0;13.732;0;0;2.484;1.361
Planoi Site 1;2.288;0.165;83.528;1.48;4.328;6.193;0.042;0;1.84;0.123
Planoi Site 2;1.766;0.111;87.593;1.47;2.203;4.156;0.041;0;2.636;0.013
Planoi Site 3;0.646;0;92.949;1.895;0;0.399;0;0;4.115;0
Planoi Site 4;1.673;0.104;87.958;1.542;2.06;3.925;0.041;0;2.673;0.012
Pont du Prince;4.967;0.042;26.485;0.601;22.127;41.22;1.098;0;2.437;1.007
Pré à Parchon;4.759;0.2;3.44;0.166;70.438;20.387;0;0;0.606;0.022
Prés du village;13.884;0.073;32.376;1.691;3.067;40.835;0.008;0;5.366;2.696
Ravel 98;21.743;0.318;29.755;1.436;4.302;29.968;2.33;0;9.551;0.601
Ronveaux;21.402;0.13;36.027;2.423;0.276;31.281;1.767;0;5.843;0.845
Ruches de Cuesmes (IDEA);34.515;0.358;27.153;1.366;1.409;26.489;0;0;8.319;0.383
Rue du Bois;5.015;0;17.022;0.179;16.199;15.06;0;0;2.412;44.119
Rue du Carme;20.994;0.262;22.776;1.57;12.88;34.287;0;0;4.549;2.68
Rue du Castillon;25.697;0.251;17.497;0.63;6.843;33.855;1.016;0;14.045;0.153
Rue Jean Winance;14.65;2.769;16.746;1.718;43.565;19.282;0;0;1.209;0.063
Rue là-dessous;27.742;0.848;19.021;1.524;14.555;31.3;0;0;4.731;0.273
Sainte-Waudru;80.762;0.34;6.961;0.125;0;9.278;0;0;1.328;1.202
Siège social (UMONS);67.297;0.348;12.066;0.551;0;15.423;0;0;2.586;1.736
Silex;2.688;0.094;19.79;1.919;52.731;18.427;0.512;0;3.066;0.761
Stievenart;38.59;0.475;19.768;1.653;0;32.28;0;0;5.078;2.157
Talus aux noyers;11.362;0.019;11.097;0.352;22.795;25.022;0.004;0;16.746;12.596
Terril Bayemont-Saint-Charles;21.328;19.855;18.67;1.506;0;30.544;0;0;4.073;4.019
Terril Belle vue du huit;17.364;0.263;26.149;1.794;10.924;37.478;0;0;5.982;0.05
Terril de Ciply site  2;11.839;0.056;29.518;1.193;13.45;38.263;0.339;0;5.097;0.248
Terril de Ciply site 1;12.351;0.054;22.37;1.003;21.509;38.48;0.316;0;3.738;0.183
Terril de la cokerie stat 1;22.432;2.643;18.033;1.105;2.475;40.392;0;0;9.187;3.718
terril de la cokerie stat 2;24.228;3.432;16.711;1.088;1.033;40.903;0;0;9.534;3.066
Terril de l'Héribus;9.659;0.07;32.548;1.252;15.073;29.318;0.013;0;11.987;0.082
Terril d'Hensies;0.532;0;39.628;1.496;0;1.81;9.607;0;19.061;27.89
Terril du dix-huit;11.206;0.063;17.984;0.726;31.406;27.251;0.001;0;11.224;0.132
Terril du Ferrand;10.504;0.084;7.919;0.287;34.663;32.412;0;0;14.059;0.075
Terril du Grand Buisson;11.273;0.126;2.52;0.109;51.416;28.05;0;0;6.469;0.04
Terril du Quesnoy  site 2;7.606;41.597;8.656;0.323;25.35;8.64;5.103;0;2.639;0.077
Terril du Quesnoy site 1;10.542;36.031;6.839;0.371;26.11;13.053;5.059;0;1.926;0.065
Terril du sept huit stat 1;13.273;0.026;10.863;0.399;28.036;20.076;7.335;0.003;19.89;0.101
Terril du sept-huit stat 2;11.611;0.034;8.9;0.402;32.879;18.963;9;0.003;18.116;0.095
Terril du sept-huit stat 3;20.192;0.084;12.508;0.465;13.021;26.07;8.97;0.003;18.558;0.129
Terril n°5 de Trazegnie site 1;12.365;0.506;25.504;0.892;18.338;10.409;0;0;27.938;4.045
Terril n°5 de Trazegnie site 2;10.25;0.355;29.313;1.088;12.884;11.127;0;0;30.277;4.704
Terril n°8 Pays-bas;42.239;0.472;21.855;1.267;0.002;26.435;0;0;7.71;0.022
Terril Naye-à-bois;23.334;0.097;21.166;0.73;0;41.071;0;0;13.338;0.245
Terril Rieu-du-Coeur;22.662;0.165;19.235;0.693;5.334;31.43;0.416;0;19.846;0.197
Terril Sacré-Français site 1;35.872;0.091;23.508;1.405;0;22.933;0;0;16.103;0.072
Terril Sacré-Français site 2;34.54;0.093;25.018;1.425;0;21.715;0;0;17.129;0.071
Terril Saint-Antoine site 1;19.035;0.057;14.499;0.598;9.877;41.277;0;0;14.143;0.512
Terril Saint-Antoine site 2;17.016;0.201;17.469;0.729;9.068;43.527;0;0;11.586;0.41
Terril Saint-Antoine site 3;17.58;0.026;12.847;0.382;11.812;45.057;0;0;11.933;0.352
Tilou;2.223;0.01;73.725;9.954;0;9.223;0;0;4.307;0.563
Vertbois Site 1;2.953;6.31;86.64;1.081;0.024;0.593;1.019;0;1.209;0.184
Vertbois Site 2;2.948;3.343;86.657;1.168;1.952;1.246;1.019;0;1.507;0.173
Vertbois Site 3;4.835;7.203;78.595;0.827;0.022;5.912;1.019;0;1.374;0.217
Vésale (UMONS);51.32;0.381;14.723;0.83;0;28.145;0;0;3.478;1.141
