Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Ruches de Cuesmes (IDEA);29.666;0.293;32.851;1.107;0;25.703;0;0;10.364;0.028
Rue du Bois;2.508;0;8.604;0.201;17.737;30.882;0;0;2.507;37.561
Rue du Carme;17.243;0.137;21.514;2.208;6.273;47.187;0;0;2.642;2.806
Rue du Castillon;24.442;0.217;21.119;1.128;0.083;35.699;0.201;0;16.973;0.121
Rue Jean Winance;14.546;0.65;23.188;2.594;38.553;19.582;0;0;0.86;0.018
Rue là-dessous;32.216;0.274;21.041;1.876;10;27.78;0;0;6.112;0.687
Sainte-Waudru;71.761;0.135;11.634;0.235;0;12.526;0;0;2.22;1.492
Siège social (UMONS);71.914;0.266;13.95;0.308;0;9.452;0;0;2.726;1.412
Silex;2.337;0.247;26.021;2.309;40.306;22.576;0.876;0;5.157;0.15
Stievenart;36.18;0.65;23.799;1.737;0;29.226;0;0;7.839;0.552
Talus aux noyers;7.085;0.002;9.632;0.1;11.277;14.304;0;0;34.809;22.798
Terril Bayemont-Saint-Charles;11.262;40.868;23.982;1.729;0;17.938;0;0;3.962;0.253
Terril Belle vue du huit;10.509;0.059;37.969;2.103;7.375;29.269;0;0;12.632;0.087
Terril de Ciply site  2;14.938;0.05;29.334;1.885;0.01;49.202;0.026;0;4.192;0.365
Terril de Ciply site 1;14.242;0.073;27.652;1.491;3.869;48.002;0;0;4.329;0.359
Terril de la cokerie stat 1;16.683;1.129;19.02;2.206;0;37.784;0;0;16.033;7.131
terril de la cokerie stat 2;16.692;2.007;16.63;1.457;0;43.232;0;0;14.034;5.934
Terril de l'Héribus;5.644;0.064;60.458;3.257;1.03;0.731;0;0;28.75;0.064
Terril d'Hensies;0.874;0.001;49.841;1.204;0;1.211;25.086;0;10.147;11.707
Terril du dix-huit;10.929;0.011;14.371;0.202;45.142;24.26;0;0;4.891;0.194
Terril du Ferrand;14.472;0.068;8.713;0.496;23.335;24.83;0;0;27.897;0.195
Terril du Grand Buisson;14.443;0.194;5.16;0.191;40.168;18.237;0;0;21.577;0.031
Terril du Quesnoy  site 2;1.851;83.114;5.197;0.115;0.429;0.631;7.655;0;0.969;0.033
Terril du Quesnoy site 1;10.878;50.45;4.989;0.098;11.109;3.721;17.434;0;1.3;0.031
Terril du sept huit stat 1;17.548;0.041;12.341;0.449;4.058;27.123;5.688;0.006;32.709;0.051
Terril du sept-huit stat 2;9.616;0;10.753;0.859;19;5.925;32.476;0.004;21.1;0.266
